model,modeltype
Auquan:SEIR,CompartmentalEPI
Covid19Sim:Simulator,CompartmentalEPI
CovidActNow:SEIR_CAN,CompartmentalEPI
Karlen:pypm,CompartmentalEPI
MITCovAlliance:SIR,CompartmentalEPI
NIHandFDA:SICR,CompartmentalEPI
CovidAnalytics:DELPHI,CompartmentalEPI
OliverWyman:Navigator,CompartmentalEPI
PSI:DRAFT,CompartmentalEPI
RPI:UW,CompartmentalEPI
SWC:TerminusCM,CompartmentalEPI
UA:EpiCovDA,CompartmentalEPI
UCLA:SuEIR,CompartmentalEPI
UCM_MESALab:FoGSEIR,CompartmentalEPI
UMass:MechBayes,CompartmentalEPI
USACE:ERDC_SEIR,CompartmentalEPI
CU:nochange,CompartmentalEPI-MetaPop
CU:scenario_high,CompartmentalEPI-MetaPop
CU:scenario_low,CompartmentalEPI-MetaPop
CU:scenario_mid,CompartmentalEPI-MetaPop
CU:select,CompartmentalEPI-MetaPop
JHU_IDD:CovidSP,CompartmentalEPI-MetaPop
MOBS:GLEAM_COVID,CompartmentalEPI-MetaPop
Columbia_UNC:SurvCon,Stats&ML
COVIDhub:baseline,Stats&ML
DDS:NBDS,Stats&ML
UCSD_NEU:DeepGLEAM,Stats&ML
GT:DeepCOVID,Stats&ML
IHME:CurveFit,Stats&ML
IowaStateLW:STEM,Stats&ML
LANL:GrowthRate,Stats&ML
QJHong:Encounter,Stats&ML
RobertWalraven:ESG,Stats&ML
UMich:RidgeTfReg,Stats&ML
UT:Mobility,Stats&ML
YYG:ParamSearch,Stats&ML
COVIDhub:ensemble,Ensemble
epiforecasts:ensemble1,Ensemble
Imperial:ensemble1,Ensemble
Imperial:ensemble2,Ensemble
LNQ:ens1,Ensemble
NotreDame:mobility,Ensemble
UMass:ExpertCrowd,Ensemble
CEID:Walk,Stats&ML
BPagano:RtDriven,CompartmentalEPI
RPI_UW:Mob_Collision,CompartmentalEPI
SteveMcConnell:CovidComplete,Stats&ML
WalmartLabsML:LogForecasting,Stats&ML
JHUAPL:Bucky,CompartmentalEPI-MetaPop
