model,modeltype
Auquan:SEIR,compartmental
Covid19Sim:Simulator,compartmental
CovidActNow:SEIR_CAN,compartmental
Karlen:pypm,compartmental
MITCovAlliance:SIR,compartmental
CovidAnalytics:DELPHI,compartmental
OliverWyman:Navigator,compartmental
PSI:DRAFT,compartmental
MSRA:DeepST,compartmental
RPI:UW,compartmental
SWC:TerminusCM,compartmental
UA:EpiCovDA,compartmental
UCLA:SuEIR,compartmental
UCM_MESALab:FoGSEIR,compartmental
UMass:MechBayes,compartmental
USACE:ERDC_SEIR,compartmental
CU:nochange,metapopulation
CU:scenario_high,metapopulation
CU:scenario_low,metapopulation
CU:scenario_mid,metapopulation
CU:select,metapopulation
JHU_IDD:CovidSP,metapopulation
MOBS:GLEAM_COVID,metapopulation
Columbia_UNC:SurvCon,stat&prob 
COVIDhub:baseline,stat&prob 
DDS:NBDS,stat&prob 
UCSD_NEU:DeepGLEAM,stat&prob 
GT:DeepCOVID,stat&prob 
IHME:CurveFit,stat&prob 
IowaStateLW:STEM,stat&prob 
LANL:GrowthRate,stat&prob 
QJHong:Encounter,stat&prob 
RobertWalraven:ESG,stat&prob 
UMich:RidgeTfReg,stat&prob 
UT:Mobility,ensemble
YYG:ParamSearch,stat&prob 
COVIDhub:ensemble,ensemble
epiforecasts:ensemble1,ensemble
Imperial:ensemble1,ensemble
Imperial:ensemble2,ensemble
LNQ:ens1,ensemble
NotreDame:mobility,ensemble
UMass:ExpertCrowd,ensemble
CEID:Walk,stat&prob 
BPagano:RtDriven,compartmental
RPI_UW:Mob_Collision,compartmental
SteveMcConnell:CovidComplete,stat&prob
WalmartLabsML:LogForecasting,stat&prob 
JHUAPL:Bucky,metapopulation
JCB:PRM,statistical&prob 
JHU_CSSE:DECOM,stat&prob 
USC:SI_kJalpha_RF,metapopulation
UCF:AEM,ensemble
UChicagoCHATTOPADHYAY:UnIT,stat&prob 
UVA:Ensemble,ensemble
