forecast_date,target,target_end_date,quantile,type,location,value
2021-08-23,1 wk ahead inc case,2021-08-28,0.025,quantile,US,738687.8192536636
2021-08-23,1 wk ahead inc case,2021-08-28,0.1,quantile,US,845064.3485943258
2021-08-23,1 wk ahead inc case,2021-08-28,0.25,quantile,US,950410.9108150755
2021-08-23,1 wk ahead inc case,2021-08-28,0.5,quantile,US,1080496.0908938423
2021-08-23,1 wk ahead inc case,2021-08-28,0.75,quantile,US,1226506.3292308555
2021-08-23,1 wk ahead inc case,2021-08-28,0.9,quantile,US,1361272.981752619
2021-08-23,1 wk ahead inc case,2021-08-28,0.975,quantile,US,1521329.2025712165
2021-08-23,1 wk ahead inc case,2021-08-28,NA,point,US,1080496.0908938423
2021-08-23,2 wk ahead inc case,2021-09-04,0.025,quantile,US,648403.6654451949
2021-08-23,2 wk ahead inc case,2021-09-04,0.1,quantile,US,796071.6160298269
2021-08-23,2 wk ahead inc case,2021-09-04,0.25,quantile,US,949941.4040496992
2021-08-23,2 wk ahead inc case,2021-09-04,0.5,quantile,US,1148497.0964030228
2021-08-23,2 wk ahead inc case,2021-09-04,0.75,quantile,US,1371358.4647263114
2021-08-23,2 wk ahead inc case,2021-09-04,0.9,quantile,US,1596259.7457196154
2021-08-23,2 wk ahead inc case,2021-09-04,0.975,quantile,US,1859541.8636533031
2021-08-23,2 wk ahead inc case,2021-09-04,NA,point,US,1148497.0964030228
2021-08-23,3 wk ahead inc case,2021-09-11,0.025,quantile,US,553997.4555389021
2021-08-23,3 wk ahead inc case,2021-09-11,0.1,quantile,US,730056.483747057
2021-08-23,3 wk ahead inc case,2021-09-11,0.25,quantile,US,924910.2819986594
2021-08-23,3 wk ahead inc case,2021-09-11,0.5,quantile,US,1180286.7969723628
2021-08-23,3 wk ahead inc case,2021-09-11,0.75,quantile,US,1495945.4048892257
2021-08-23,3 wk ahead inc case,2021-09-11,0.9,quantile,US,1831441.6815986624
2021-08-23,3 wk ahead inc case,2021-09-11,0.975,quantile,US,2309861.2861030325
2021-08-23,3 wk ahead inc case,2021-09-11,NA,point,US,1180286.7969723628
2021-08-23,4 wk ahead inc case,2021-09-18,0.025,quantile,US,460111.09947946
2021-08-23,4 wk ahead inc case,2021-09-18,0.1,quantile,US,634987.155674303
2021-08-23,4 wk ahead inc case,2021-09-18,0.25,quantile,US,834970.8049503338
2021-08-23,4 wk ahead inc case,2021-09-18,0.5,quantile,US,1120028.7339296972
2021-08-23,4 wk ahead inc case,2021-09-18,0.75,quantile,US,1533920.8352540946
2021-08-23,4 wk ahead inc case,2021-09-18,0.9,quantile,US,1992443.4042599387
2021-08-23,4 wk ahead inc case,2021-09-18,0.975,quantile,US,2706307.7116549476
2021-08-23,4 wk ahead inc case,2021-09-18,NA,point,US,1120028.7339296972
2021-08-23,5 wk ahead inc case,2021-09-25,0.025,quantile,US,410343.8867726894
2021-08-23,5 wk ahead inc case,2021-09-25,0.1,quantile,US,545139.6130478287
2021-08-23,5 wk ahead inc case,2021-09-25,0.25,quantile,US,689652.5181833538
2021-08-23,5 wk ahead inc case,2021-09-25,0.5,quantile,US,897857.3563944957
2021-08-23,5 wk ahead inc case,2021-09-25,0.75,quantile,US,1164465.4597810064
2021-08-23,5 wk ahead inc case,2021-09-25,0.9,quantile,US,1438307.8734701108
2021-08-23,5 wk ahead inc case,2021-09-25,0.975,quantile,US,1716859.2639639936
2021-08-23,5 wk ahead inc case,2021-09-25,NA,point,US,897857.3563944957
2021-08-23,6 wk ahead inc case,2021-10-02,0.025,quantile,US,347703.6689642455
2021-08-23,6 wk ahead inc case,2021-10-02,0.1,quantile,US,457454.381461058
2021-08-23,6 wk ahead inc case,2021-10-02,0.25,quantile,US,586648.9882964361
2021-08-23,6 wk ahead inc case,2021-10-02,0.5,quantile,US,774787.9785843143
2021-08-23,6 wk ahead inc case,2021-10-02,0.75,quantile,US,1036166.6199390911
2021-08-23,6 wk ahead inc case,2021-10-02,0.9,quantile,US,1297383.441513183
2021-08-23,6 wk ahead inc case,2021-10-02,0.975,quantile,US,1562475.7500416585
2021-08-23,6 wk ahead inc case,2021-10-02,NA,point,US,774787.9785843143
2021-08-23,1 wk ahead cum death,2021-08-28,0.01,quantile,US,632980.8735718412
2021-08-23,1 wk ahead cum death,2021-08-28,0.025,quantile,US,633449.2328602946
2021-08-23,1 wk ahead cum death,2021-08-28,0.05,quantile,US,633822.0106128607
2021-08-23,1 wk ahead cum death,2021-08-28,0.1,quantile,US,634230.7384342736
2021-08-23,1 wk ahead cum death,2021-08-28,0.15,quantile,US,634494.5689795368
2021-08-23,1 wk ahead cum death,2021-08-28,0.2,quantile,US,634734.6133004206
2021-08-23,1 wk ahead cum death,2021-08-28,0.25,quantile,US,634927.1034404917
2021-08-23,1 wk ahead cum death,2021-08-28,0.3,quantile,US,635093.4604482274
2021-08-23,1 wk ahead cum death,2021-08-28,0.35,quantile,US,635260.986872413
2021-08-23,1 wk ahead cum death,2021-08-28,0.4,quantile,US,635438.3106895537
2021-08-23,1 wk ahead cum death,2021-08-28,0.45,quantile,US,635606.1926242238
2021-08-23,1 wk ahead cum death,2021-08-28,0.5,quantile,US,635766.9074777408
2021-08-23,1 wk ahead cum death,2021-08-28,0.55,quantile,US,635976.7673161657
2021-08-23,1 wk ahead cum death,2021-08-28,0.6,quantile,US,636202.9956363398
2021-08-23,1 wk ahead cum death,2021-08-28,0.65,quantile,US,636452.4271089325
2021-08-23,1 wk ahead cum death,2021-08-28,0.7,quantile,US,636677.5101102507
2021-08-23,1 wk ahead cum death,2021-08-28,0.75,quantile,US,636942.4934579844
2021-08-23,1 wk ahead cum death,2021-08-28,0.8,quantile,US,637237.3421059168
2021-08-23,1 wk ahead cum death,2021-08-28,0.85,quantile,US,637661.5032888285
2021-08-23,1 wk ahead cum death,2021-08-28,0.9,quantile,US,638119.9602955489
2021-08-23,1 wk ahead cum death,2021-08-28,0.95,quantile,US,638818.4377403753
2021-08-23,1 wk ahead cum death,2021-08-28,0.975,quantile,US,639586.3381122351
2021-08-23,1 wk ahead cum death,2021-08-28,0.99,quantile,US,640427.4038207924
2021-08-23,1 wk ahead cum death,2021-08-28,NA,point,US,635766.9074777408
2021-08-23,2 wk ahead cum death,2021-09-04,0.01,quantile,US,638029.9403975515
2021-08-23,2 wk ahead cum death,2021-09-04,0.025,quantile,US,639114.5116698452
2021-08-23,2 wk ahead cum death,2021-09-04,0.05,quantile,US,640186.3457049379
2021-08-23,2 wk ahead cum death,2021-09-04,0.1,quantile,US,641408.96274165
2021-08-23,2 wk ahead cum death,2021-09-04,0.15,quantile,US,642069.1135638667
2021-08-23,2 wk ahead cum death,2021-09-04,0.2,quantile,US,642604.7262014037
2021-08-23,2 wk ahead cum death,2021-09-04,0.25,quantile,US,643062.377113121
2021-08-23,2 wk ahead cum death,2021-09-04,0.3,quantile,US,643486.163243587
2021-08-23,2 wk ahead cum death,2021-09-04,0.35,quantile,US,643886.7791438698
2021-08-23,2 wk ahead cum death,2021-09-04,0.4,quantile,US,644261.6205405175
2021-08-23,2 wk ahead cum death,2021-09-04,0.45,quantile,US,644649.2849400403
2021-08-23,2 wk ahead cum death,2021-09-04,0.5,quantile,US,645014.9662483244
2021-08-23,2 wk ahead cum death,2021-09-04,0.55,quantile,US,645573.3937228875
2021-08-23,2 wk ahead cum death,2021-09-04,0.6,quantile,US,646063.6013653139
2021-08-23,2 wk ahead cum death,2021-09-04,0.65,quantile,US,646615.7426876163
2021-08-23,2 wk ahead cum death,2021-09-04,0.7,quantile,US,647093.1344858054
2021-08-23,2 wk ahead cum death,2021-09-04,0.75,quantile,US,647678.7319953557
2021-08-23,2 wk ahead cum death,2021-09-04,0.8,quantile,US,648381.2213947218
2021-08-23,2 wk ahead cum death,2021-09-04,0.85,quantile,US,649245.6980828787
2021-08-23,2 wk ahead cum death,2021-09-04,0.9,quantile,US,650277.9353129073
2021-08-23,2 wk ahead cum death,2021-09-04,0.95,quantile,US,651892.5402818287
2021-08-23,2 wk ahead cum death,2021-09-04,0.975,quantile,US,653392.2018488096
2021-08-23,2 wk ahead cum death,2021-09-04,0.99,quantile,US,655495.7335323093
2021-08-23,2 wk ahead cum death,2021-09-04,NA,point,US,645014.9662483244
