,model,forecast_date,delta,target_end_date,quantile,value,deaths,deltaW,score,sumpdf,prange,p,CIHI,CILO,PE
0,Auquan:SEIR,2020-05-31,6,2020-06-06,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[107756.0, 108644.0, 110357.0, 111704.0, 112610.0, 113427.0, 113949.0, 114548.0, 115064.0, 115539.0, 115923.0, 116559.0, 117022.0, 117578.0, 117989.0, 118546.0, 119163.0, 119646.0, 120537.0, 121362.0, 122752.0, 123625.0, 125537.0]",112954,1.0,-5.068480116769499,0.9799911498774926,0.98,5.710912999937201e-05,125537.0,107756.0,116559.0
1,COVIDhub:baseline,2020-05-11,26,2020-06-06,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[99109.2514882149, 103852.53969364699, 107744.68433084301, 113090.898085981, 117033.860120101, 119661.15312853099, 121747.95195202, 123343.781079811, 124795.73601036, 126231.49919999199, 127503.99926799301, 128505.08405084099, 129484.105707557, 130739.192630926, 132176.09199292, 133642.81804118, 135197.292565426, 137358.770186702, 139977.12473324698, 143985.08856888599, 149267.980714807, 153021.05270827698, 157983.039313093]",112954,4.0,-8.401760761209456,0.9799978862880758,0.98,1.0786805524840015e-05,157983.039313093,99109.2514882149,128505.08405084099
2,COVIDhub:baseline,2020-05-18,19,2020-06-06,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[98232.08379883801, 101445.894406194, 104029.615074651, 108055.521529215, 110822.64182991801, 112682.701157012, 113915.555798058, 114980.748534485, 116158.12717877199, 117118.70560705599, 118036.618059681, 118629.834088341, 119208.306902069, 120126.995401954, 121101.527747277, 122284.683722837, 123340.97530725301, 124592.461284613, 126455.10925259301, 129170.088614886, 133348.417139671, 135915.605382304, 139195.085134351]",112954,3.0,-5.9049479280804595,0.9799965306633576,0.98,3.7589700617846056e-05,139195.085134351,98232.08379883801,118629.834088341
3,COVIDhub:baseline,2020-05-25,12,2020-06-06,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[101263.489629196, 102705.90532130301, 104731.975591756, 108194.636711367, 109306.288313383, 110301.44070740699, 111067.385878859, 111779.78371883699, 112301.91984969801, 113004.274763748, 113599.79676896801, 113753.103456035, 113926.478075781, 114508.475753758, 115201.734848348, 115722.17701377, 116473.188641886, 117220.00908109099, 118213.720142201, 119312.00513905099, 122774.200337503, 124784.847628476, 126262.768870489]",112954,2.0,-4.545141853640728,0.9799814325920475,0.98,7.419027896629626e-05,126262.768870489,101263.489629196,113753.103456035
4,COVIDhub:baseline,2020-06-01,5,2020-06-06,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[104917.27, 104944.675, 106328.65, 108373.4, 108661.5, 108836.0, 109052.75, 109808.4, 110302.45, 110447.0, 110465.05, 110466.0, 110466.95, 110485.0, 110629.55, 111123.6, 111879.25, 112096.0, 112270.5, 112558.6, 114603.35, 115987.325, 116014.73]",112954,1.0,-6.039508803406824,0.9788686187424085,0.98,3.514385059608105e-05,116014.73,104917.27,110466.0
5,COVIDhub:ensemble,2020-05-11,26,2020-06-06,"[0.025, 0.05, 0.1, 0.01, 0.2, 0.9, 0.15, 0.55, 0.95, 0.6, 0.25, 0.85, 0.975, 0.65, 0.5, 0.99, 0.3, 0.8, 0.75, 0.7, 0.35, 0.4, 0.45]","[101461.867349471, 102524.802591352, 104166.79362064, 100450.529390904, 106643.707152853, 123271.468180758, 105446.42416275099, 113697.997255144, 127003.721513158, 114648.27116447, 107705.18116680699, 121157.25685664301, 130163.661872991, 115676.15510604401, 112647.27857708801, 134696.49317206402, 108803.337877469, 119539.945565196, 118126.98114482801, 116852.297722115, 109760.823844343, 110798.323274683, 111763.28135389599]",112954,4.0,-5.452062293708784,0.9799937964230938,0.98,4.7142404805328164e-05,134696.49317206402,100450.529390904,112647.27857708801
6,COVIDhub:ensemble,2020-05-18,19,2020-06-06,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[102748.90171692401, 103397.095506776, 104054.07554254199, 104925.553901759, 105592.38352922801, 106192.82254084699, 106730.35059458199, 107285.303109341, 107851.007761675, 108404.663283663, 108925.142187644, 109454.479178455, 109994.43968050301, 110537.800841951, 111099.519394405, 111686.36927912, 112346.954075006, 113115.08853939199, 114002.585477853, 115093.405698585, 116664.391363613, 118489.035261964, 120457.55771959]",112954,3.0,-4.894077885636512,0.9799854242830092,0.98,6.231269108997184e-05,120457.55771959,102748.90171692401,109454.479178455
7,COVIDhub:ensemble,2020-05-25,12,2020-06-06,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[106535.173992406, 107013.099535289, 107525.575717108, 108293.76230408301, 108837.95207116801, 109266.71815319, 109681.007719994, 110062.92736558801, 110425.93607152, 110759.690593156, 111111.93955571699, 111433.994107349, 111770.855825251, 112078.68104315, 112389.380859331, 112779.84049498099, 113175.09001737, 113612.154147174, 114129.298302949, 114739.50202771301, 115757.520696025, 116597.391151649, 117597.165314021]",112954,2.0,-3.44895797215674,0.9799780342359965,0.98,0.00012834540050352117,117597.165314021,106535.173992406,111433.994107349
8,COVIDhub:ensemble,2020-06-01,5,2020-06-06,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[107603.837359421, 107772.57988466801, 107950.473906715, 108192.624286238, 108487.706718819, 108726.758282267, 108963.40990355199, 109164.37433684, 109347.19137402199, 109536.979565181, 109726.009843907, 109916.611605585, 110077.573978713, 110269.720740967, 110475.190645401, 110691.824535006, 110940.88415980901, 111232.427894038, 111558.10595002801, 111977.105223696, 112653.79021102, 113228.803469875, 113915.953097858]",112954,1.0,-5.601794724231847,0.9799532633700521,0.98,4.374191059663968e-05,113915.953097858,107603.837359421,109916.611605585
9,CU:nochange,2020-04-26,41,2020-06-06,"[0.05, 0.025, 0.1, 0.01, 0.15, 0.7, 0.35, 0.2, 0.9, 0.75, 0.4, 0.95, 0.6, 0.25, 0.55, 0.8, 0.45, 0.975, 0.65, 0.3, 0.85, 0.5, 0.99]","[245294.0, 235695.0, 254321.0, 227688.0, 266380.0, 328634.0, 287511.0, 272451.0, 376489.0, 332750.0, 296904.0, 387910.0, 315739.0, 277215.0, 309674.0, 345160.0, 298910.0, 390908.0, 319357.0, 281573.0, 353972.0, 304057.0, 403150.0]",112954,6.0,-inf,0.9799992293372844,0.98,0,403150.0,227688.0,304057.0
