,model,forecast_date,delta,target_end_date,quantile,value,cases,deltaW,proper,score,sumpdf,prange,p,CIHI,CILO,PE,scorecontr
0,COVIDhub:baseline,2020-04-06,54,2020-05-30,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[2572.75842083412, 70262.51399013991, 123528.35322353199, 187367.0, 251632.79717047198, 305130.163508635, 370603.81419989205]",147231.0,8.0,True,-10.137188441481623,0.9499995746876518,0.95,3.96735161881101e-06,370603.81419989205,2572.75842083412,187367.0,158.9507205830201
1,COVIDhub:baseline,2020-04-06,47,2020-05-23,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[13339.039185391799, 79936.1830848308, 127552.31965319699, 187367.0, 247519.86039360397, 295134.338818388, 359056.355828808]",154701.0,7.0,True,-9.925437515025653,0.9499999395488151,0.95,4.302638834496886e-06,359056.355828808,13339.039185391799,187367.0,142.98200132996223
2,COVIDhub:baseline,2020-04-06,40,2020-05-16,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[23174.908512335096, 90586.1186891869, 132436.70097951, 187367.0, 242436.422774228, 284636.205650056, 351070.763536385]",158415.0,6.0,True,-9.734871824546243,0.949999999939859,0.95,4.676964961536356e-06,351070.763536385,23174.908512335096,187367.0,129.98719066739463
3,COVIDhub:baseline,2020-04-06,33,2020-05-09,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[32938.3561365613, 98339.7707147071, 138690.101226012, 187367.0, 236203.000740007, 276733.922275223, 341105.879494545]",176871.0,5.0,True,-9.344625012525619,0.9499999999361775,0.95,5.379909499378388e-06,341105.879494545,32938.3561365613,187367.0,106.94476714306447
4,COVIDhub:baseline,2020-04-06,26,2020-05-02,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[47654.4080378304, 103160.083508835, 148458.16899919, 187367.0, 226738.545682957, 271746.861461615, 325938.42806903104]",193994.0,4.0,True,-8.767495692408566,0.9499993848705592,0.95,6.855374366399047e-06,325938.42806903104,47654.4080378304,187367.0,80.13781549321612
5,COVIDhub:baseline,2020-04-06,19,2020-04-25,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[73942.2728557286, 108068.34925549301, 162945.09327843302, 187367.0, 212097.76380263802, 266618.496437964, 297968.121581716]",207990.0,3.0,True,-8.436284654931683,0.9499956118614769,0.95,7.813140978862876e-06,297968.121581716,73942.2728557286,187367.0,67.9072176715777
6,COVIDhub:baseline,2020-04-06,12,2020-04-18,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[97606.90285877859, 114576.980499805, 177265.91698917, 187367.0, 197206.51562015602, 260538.733464335, 277049.654397544]",203462.0,2.0,True,-9.723292392612507,0.9499900863034906,0.95,4.150831025617752e-06,277049.654397544,97606.90285877859,187367.0,129.2367761936368
7,COVIDhub:baseline,2020-04-06,5,2020-04-11,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[103685.875, 151268.4, 187138.0, 187367.0, 187596.0, 223465.6, 271048.125]",219350.0,1.0,True,-11.61066435627426,0.949999818645016,0.95,1.5558591379138953e-06,271048.125,103685.875,187367.0,332.06547991766246
8,COVIDhub:baseline,2020-04-13,33,2020-05-16,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[65932.7684216842, 126499.151853519, 170162.997549975, 217543.0, 264638.139283893, 308322.908059081, 367880.109331843]",158415.0,5.0,True,-10.028163710200147,0.9499999924655236,0.95,4.039025476694491e-06,367880.109331843,65932.7684216842,217543.0,150.5178760836854
9,COVIDhub:baseline,2020-04-13,40,2020-05-23,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[54493.197546725496, 116440.639545395, 164710.877688777, 217543.0, 270315.43110681104, 318420.23239332397, 379905.741638166]",154701.0,6.0,True,-10.23931211921525,0.9499996955969163,0.95,3.6777134531720823e-06,379905.741638166,54493.197546725496,217543.0,167.27782612475193
