,model,forecast_date,delta,target_end_date,quantile,value,deaths,deltaW,proper,score,sumpdf,prange,p,CIHI,CILO,PE,scorecontr
0,Imperial:ensemble2,2020-03-15,6,2020-03-21,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[98.0, 109.0, 120.0, 134.0, 145.0, 154.0, 163.0, 171.0, 179.0, 187.0, 195.0, 203.0, 212.0, 221.0, 231.0, 243.0, 257.0, 274.0, 298.0, 330.0, 394.0, 463.0, 561.0]",464.0,1.0,True,-7.863771829581956,0.9794831902783233,0.98,0.00022024572037246393,561.0,98.0,203.0,51.003074478066274
1,Imperial:ensemble1,2020-03-15,6,2020-03-21,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[77.0, 85.0, 94.0, 109.0, 123.0, 137.0, 149.0, 160.0, 171.0, 182.0, 192.0, 203.0, 214.0, 225.0, 238.0, 252.0, 268.0, 286.0, 308.0, 340.0, 392.0, 446.0, 523.0]",464.0,1.0,True,-7.513923409771979,0.9791971726234304,0.98,0.00026234699706143005,523.0,77.0,203.0,42.818134018899485
2,Imperial:ensemble2,2020-03-22,6,2020-03-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[1640.0, 1733.0, 1819.0, 1926.0, 1999.0, 2062.0, 2117.0, 2169.0, 2220.0, 2271.0, 2324.0, 2380.0, 2437.0, 2499.0, 2566.0, 2645.0, 2731.0, 2846.0, 2987.0, 3169.0, 3471.0, 3722.0, 4037.0]",2891.0,1.0,True,-4.99617168985523,0.9799244170304305,0.98,0.00037011260931146817,4037.0,1640.0,2380.0,12.159197082126736
3,Imperial:ensemble1,2020-03-22,6,2020-03-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[1828.0, 1956.0, 2061.0, 2194.0, 2283.0, 2355.0, 2418.0, 2484.0, 2547.0, 2610.0, 2673.0, 2736.0, 2813.0, 2895.0, 2989.0, 3101.0, 3226.0, 3395.0, 3604.0, 3893.0, 4323.0, 4713.0, 5241.0]",2891.0,1.0,True,-4.115202699377364,0.9799624949425965,0.98,0.0005749550156373406,5241.0,1828.0,2736.0,7.8271726253396405
4,Imperial:ensemble1,2020-03-29,6,2020-04-04,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[8613.0, 8859.0, 9081.0, 9358.0, 9550.0, 9702.0, 9834.0, 9953.0, 10059.0, 10172.0, 10282.0, 10401.0, 10533.0, 10721.0, 10864.0, 10932.0, 10977.0, 11016.0, 11057.0, 11102.0, 11165.0, 11216.0, 11294.0]",10892.0,1.0,True,-2.345737398005645,0.9799570920255194,0.98,0.0007175275892851996,11294.0,8613.0,10401.0,3.2312488358720217
5,Imperial:ensemble2,2020-03-29,6,2020-04-04,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[8964.0, 9188.0, 9396.0, 9673.0, 9876.0, 10025.0, 10156.0, 10273.0, 10382.0, 10481.0, 10586.0, 10701.0, 10810.0, 10883.0, 10935.0, 10975.0, 11010.0, 11048.0, 11087.0, 11135.0, 11208.0, 11298.0, 11477.0]",10892.0,1.0,True,-1.9682243554937235,0.9799788411582052,0.98,0.0008665916900478798,11477.0,8964.0,10701.0,2.675435518491713
6,Imperial:ensemble1,2020-04-05,6,2020-04-11,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[21452.0, 21505.0, 21552.0, 21617.0, 21665.0, 21711.0, 21760.0, 21834.0, 23301.0, 23785.0, 24062.0, 24309.0, 24556.0, 24846.0, 25339.0, 26532.0, 26791.0, 26979.0, 27146.0, 27324.0, 27541.0, 27720.0, 27928.0]",25530.0,1.0,True,-7.177607477405277,0.9798693818705343,0.98,4.1844632412302296e-05,27928.0,21452.0,24309.0,36.190756419690665
7,Imperial:ensemble2,2020-04-05,6,2020-04-11,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[21452.0, 21505.0, 21552.0, 21617.0, 21665.0, 21711.0, 21760.0, 21834.0, 23391.0, 23988.0, 24407.0, 24768.0, 25150.0, 25549.0, 26131.0, 27105.0, 27344.0, 27505.0, 27668.0, 27836.0, 28049.0, 28224.0, 28406.0]",25530.0,1.0,True,-5.3005538816789075,0.9798457306697588,0.98,0.00010696378602409462,28406.0,21452.0,24768.0,14.157959019550715
8,COVIDhub:baseline,2020-04-06,12,2020-04-18,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[12457.2272706727, 13834.4153286533, 15904.618044680401, 17919.936955369598, 19144.6569390694, 20048.6436404364, 20722.6692766928, 20981.640203402, 21119.5805178052, 21146.5425374254, 21159.568803688002, 21169.0, 21178.3539510395, 21191.1126491265, 21218.6215722157, 21356.094844948402, 21617.043640436397, 22274.0958329583, 23175.731029810297, 24421.362914629102, 26438.8416674167, 28537.6137283873, 29892.3041297413]",40567.0,2.0,True,,0.979978660126037,0.98,0.0,29892.3041297413,12457.2272706727,21169.0,
9,COVIDhub:baseline,2020-04-06,26,2020-05-02,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[15588.3319747197, 18281.7201553266, 21255.854587545902, 25177.7413274133, 27729.9845063451, 29676.674125741298, 30950.747589975897, 32044.7260782608, 32986.2592190922, 33524.6924639246, 33835.5565160652, 33929.3035880359, 34020.0618756188, 34334.2634436344, 34870.3208252083, 35782.781188811896, 36885.8799712997, 38193.3892168922, 40101.261367613704, 42736.9327923279, 46699.589632396295, 49824.816990669904, 52877.708601485996]",69535.0,4.0,True,,0.9799928073321615,0.98,0.0,52877.708601485996,15588.3319747197,33929.3035880359,
10,COVIDhub:baseline,2020-04-06,19,2020-04-25,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[14175.2723196232, 16358.887617126202, 18749.4902719027, 21738.999654996598, 23679.578198282, 24918.6464784648, 25932.8559560596, 26718.8795477955, 27180.7801063011, 27430.3519875199, 27516.190761407597, 27549.5574905749, 27581.8101241012, 27659.9941359414, 27902.897064470602, 28367.0851878519, 29147.9391168912, 30162.6426064261, 31422.614496645, 33371.3784737848, 36376.8687276873, 38968.505867308704, 41081.5886748867]",55988.0,3.0,True,,0.9799884887904038,0.98,0.0,41081.5886748867,14175.2723196232,27549.5574905749,
11,COVIDhub:baseline,2020-04-06,5,2020-04-11,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[10535.03, 11165.075, 12215.15, 13709.3, 14496.45, 14684.2, 14770.0, 14772.6, 14780.7, 14787.2, 14787.85, 14788.0, 14788.15, 14788.8, 14795.3, 14803.4, 14806.0, 14891.8, 15079.55, 15866.7, 17360.85, 18410.925, 19040.97]",25530.0,1.0,True,,0.9799523809523862,0.98,0.0,19040.97,10535.03,14788.0,
12,Imperial:ensemble2,2020-04-12,6,2020-04-18,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[36644.0, 36702.0, 36753.0, 36823.0, 36874.0, 36924.0, 36978.0, 37055.0, 38259.0, 38652.0, 38860.0, 39038.0, 39218.0, 39417.0, 39762.0, 42894.0, 43126.0, 43282.0, 43427.0, 43576.0, 43778.0, 43936.0, 44114.0]",40567.0,1.0,True,-9.206806377774356,0.9798633052107929,0.98,1.2034935745752762e-05,44114.0,36644.0,39038.0,99.82345631193604
13,CU:select,2020-04-12,6,2020-04-18,"[0.01, 0.15, 0.025, 0.2, 0.05, 0.25, 0.55, 0.85, 0.5, 0.8, 0.1, 0.3, 0.6, 0.9, 0.975, 0.4, 0.99, 0.7, 0.65, 0.95, 0.45, 0.75, 0.35]","[22123.0, 25124.0, 22813.0, 26043.0, 23264.0, 26435.0, 31153.0, 38255.0, 30768.0, 36335.0, 24505.0, 27427.0, 32101.0, 40033.0, 46519.0, 28897.0, 55641.0, 33617.0, 32745.0, 44118.0, 29355.0, 35030.0, 28022.0]",40567.0,1.0,True,-8.700876230018558,0.9799993067688808,0.98,1.549905115352801e-05,55641.0,22123.0,30768.0,77.51241483964286
14,Imperial:ensemble1,2020-04-12,6,2020-04-18,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[36644.0, 36702.0, 36753.0, 36823.0, 36874.0, 36924.0, 36978.0, 37055.0, 38031.0, 38398.0, 38603.0, 38773.0, 38950.0, 39154.0, 39550.0, 41658.0, 41874.0, 42019.0, 42157.0, 42295.0, 42477.0, 42619.0, 42782.0]",40567.0,1.0,True,-9.606291199128641,0.9798600939419059,0.98,9.85591045671308e-06,42782.0,36644.0,38773.0,121.89324242640913
