,model,forecast_date,delta,target_end_date,quantile,value,deaths,deltaW,score,sumpdf,prange,p,CIHI,CILO,PE
4911,Imperial:ensemble2,2020-03-15,6,2020-03-21,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[98.0, 109.0, 120.0, 134.0, 145.0, 154.0, 163.0, 171.0, 179.0, 187.0, 195.0, 203.0, 212.0, 221.0, 231.0, 243.0, 257.0, 274.0, 298.0, 330.0, 394.0, 463.0, 561.0]",463,1.0,-7.853181519690135,0.9794831902783233,0.98,0.00022165402889781638,561.0,98.0,203.0
4910,Imperial:ensemble1,2020-03-15,6,2020-03-21,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[77.0, 85.0, 94.0, 109.0, 123.0, 137.0, 149.0, 160.0, 171.0, 182.0, 192.0, 203.0, 214.0, 225.0, 238.0, 252.0, 268.0, 286.0, 308.0, 340.0, 392.0, 446.0, 523.0]",463,1.0,-7.503571887078961,0.9791971726234304,0.98,0.00026399299116514063,523.0,77.0,203.0
4913,Imperial:ensemble2,2020-03-22,6,2020-03-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[1640.0, 1733.0, 1819.0, 1926.0, 1999.0, 2062.0, 2117.0, 2169.0, 2220.0, 2271.0, 2324.0, 2380.0, 2437.0, 2499.0, 2566.0, 2645.0, 2731.0, 2846.0, 2987.0, 3169.0, 3471.0, 3722.0, 4037.0]",2886,1.0,-4.983852388603423,0.9799244170304305,0.98,0.00037272186110087757,4037.0,1640.0,2380.0
4912,Imperial:ensemble1,2020-03-22,6,2020-03-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[1828.0, 1956.0, 2061.0, 2194.0, 2283.0, 2355.0, 2418.0, 2484.0, 2547.0, 2610.0, 2673.0, 2736.0, 2813.0, 2895.0, 2989.0, 3101.0, 3226.0, 3395.0, 3604.0, 3893.0, 4323.0, 4713.0, 5241.0]",2886,1.0,-4.092925850291551,0.9799624949425965,0.98,0.0005818983231320463,5241.0,1828.0,2736.0
61,IHME:CurveFit,2020-03-27,71,2020-06-06,"[0.025, 0.975]","[38239.5, 156518.675]",112954,11.0,-8.991576626031748,0.9499839362848833,0.95,8.031856880752475e-06,156518.675,38239.5,97379.0875
1815,IHME:CurveFit,2020-03-27,127,2020-08-01,"[0.025, 0.975]","[38241.5, 162106.075]",155149,19.0,-8.766447234873894,0.9499846605947782,0.95,7.669702254103905e-06,162106.075,38241.5,100173.7875
1303,IHME:CurveFit,2020-03-27,113,2020-07-18,"[0.025, 0.975]","[38241.5, 162106.075]",140775,17.0,-8.863670309238621,0.9499846605947782,0.95,7.66970225407615e-06,162106.075,38241.5,100173.7875
4267,IHME:CurveFit,2020-03-27,15,2020-04-11,"[0.025, 0.975]","[14986.575, 35277.75]",25481,3.0,-6.9548866009180275,0.9499063624270188,0.95,4.68187866541625e-05,35277.75,14986.575,25132.1625
4283,IHME:CurveFit,2020-03-27,22,2020-04-18,"[0.025, 0.975]","[22835.4, 68728.125]",40533,4.0,-8.122973544181527,0.9499585993514535,0.95,2.0700324668249115e-05,68728.125,22835.4,45781.7625
239,IHME:CurveFit,2020-03-27,78,2020-06-13,"[0.025, 0.975]","[38241.5, 158740.875]",118220,12.0,-8.983200414225653,0.9499842322333891,0.95,7.883882853831903e-06,158740.875,38241.5,98491.1875
