,model,forecast_date,delta,target_end_date,quantile,value,cases,deltaW,score,sumpdf,prange,p,CIHI,CILO,PE,scorecontr
0,COVIDhub:baseline,2020-04-06,47,2020-05-23,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[13339.039185391799, 79936.1830848308, 127552.31965319699, 187367.0, 247519.86039360397, 295134.338818388, 359056.355828808]",155140.0,7.0,-9.920041648457246,0.9499999395488151,0.95,4.308154376561624e-06,359056.355828808,13339.039185391799,187367.0,142.5967653337131
1,COVIDhub:baseline,2020-04-06,54,2020-05-30,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[2572.75842083412, 70262.51399013991, 123528.35322353199, 187367.0, 251632.79717047198, 305130.163508635, 370603.81419989205]",147204.0,8.0,-10.137619242448874,0.9499995746876518,0.95,3.966860890033952e-06,370603.81419989205,2572.75842083412,187367.0,158.98496233281867
2,COVIDhub:baseline,2020-04-06,5,2020-04-11,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[103685.875, 151268.4, 187138.0, 187367.0, 187596.0, 223465.6, 271048.125]",219293.0,1.0,-11.620362105522876,0.949999818645016,0.95,1.5485344459775785e-06,271048.125,103685.875,187367.0,333.67953380690426
3,COVIDhub:baseline,2020-04-06,12,2020-04-18,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[97606.90285877859, 114576.980499805, 177265.91698917, 187367.0, 197206.51562015602, 260538.733464335, 277049.654397544]",203513.0,2.0,-9.727610017869416,0.9499900863034906,0.95,4.1413608182216954e-06,277049.654397544,97606.90285877859,187367.0,129.51607554715795
4,COVIDhub:baseline,2020-04-06,33,2020-05-09,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[32938.3561365613, 98339.7707147071, 138690.101226012, 187367.0, 236203.000740007, 276733.922275223, 341105.879494545]",177071.0,5.0,-9.344456519754274,0.9499999999361775,0.95,5.377323363794928e-06,341105.879494545,32938.3561365613,187367.0,106.93575781247323
5,COVIDhub:baseline,2020-04-06,19,2020-04-25,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[73942.2728557286, 108068.34925549301, 162945.09327843302, 187367.0, 212097.76380263802, 266618.496437964, 297968.121581716]",208271.0,3.0,-8.483468973928503,0.9499956118614769,0.95,7.625819866241557e-06,297968.121581716,73942.2728557286,187367.0,69.52834331822875
6,COVIDhub:baseline,2020-04-06,40,2020-05-16,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[23174.908512335096, 90586.1186891869, 132436.70097951, 187367.0, 242436.422774228, 284636.205650056, 351070.763536385]",158546.0,6.0,-9.733387683564839,0.949999999939859,0.95,4.678502862009992e-06,351070.763536385,23174.908512335096,187367.0,129.89076679011285
7,COVIDhub:baseline,2020-04-06,26,2020-05-02,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[47654.4080378304, 103160.083508835, 148458.16899919, 187367.0, 226738.545682957, 271746.861461615, 325938.42806903104]",194339.0,4.0,-8.761209508301508,0.9499993848705592,0.95,6.870848473311542e-06,325938.42806903104,47654.4080378304,187367.0,79.88633038960326
8,COVIDhub:baseline,2020-04-13,40,2020-05-23,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[54493.197546725496, 116440.639545395, 164710.877688777, 217543.0, 270315.43110681104, 318420.23239332397, 379905.741638166]",155140.0,6.0,-10.23294020903315,0.9499996955969163,0.95,3.6842254486427195e-06,379905.741638166,54493.197546725496,217543.0,166.74573454300634
9,COVIDhub:baseline,2020-04-13,26,2020-05-09,"[0.025, 0.1, 0.25, 0.5, 0.75, 0.9, 0.975]","[82695.7170296702, 133236.672378724, 177678.30703057, 217543.0, 257280.65700907, 301947.065350654, 352899.498323983]",177071.0,4.0,-9.749679126575192,0.949999060912389,0.95,4.391098532327553e-06,352899.498323983,82695.7170296702,217543.0,130.95314183381075
