date,location,location_name,value
2020-07-27,US,US,6072
2020-07-28,US,US,5240
2020-07-29,US,US,5366
2020-07-30,US,US,6258
2020-07-31,US,US,6011
2020-08-01,US,US,4486
2020-08-02,US,US,4628
2020-08-03,US,US,5075
2020-08-04,US,US,4843
2020-08-05,US,US,4915
2020-08-06,US,US,4948
2020-08-07,US,US,4664
2020-08-08,US,US,4162
2020-08-09,US,US,4097
2020-08-10,US,US,4794
2020-08-11,US,US,4476
2020-08-12,US,US,4580
2020-08-13,US,US,4828
2020-08-14,US,US,4739
2020-08-15,US,US,4172
2020-08-16,US,US,4581
2020-08-17,US,US,4749
2020-08-18,US,US,4274
2020-08-19,US,US,4422
2020-08-20,US,US,4100
2020-08-21,US,US,4521
2020-08-22,US,US,3706
2020-08-23,US,US,3772
2020-08-24,US,US,4370
2020-08-25,US,US,4420
2020-08-26,US,US,4178
2020-08-27,US,US,4668
2020-08-28,US,US,4612
2020-08-29,US,US,3915
2020-08-30,US,US,3906
2020-08-31,US,US,4123
2020-09-01,US,US,4086
2020-09-02,US,US,3849
2020-09-03,US,US,4071
2020-09-04,US,US,3775
2020-09-05,US,US,3318
2020-09-06,US,US,3420
2020-09-07,US,US,3668
2020-09-08,US,US,4544
2020-09-09,US,US,4502
2020-09-10,US,US,4501
2020-09-11,US,US,4056
2020-09-12,US,US,3754
2020-09-13,US,US,3048
2020-09-14,US,US,3893
2020-09-15,US,US,3478
2020-09-16,US,US,3570
2020-09-17,US,US,3530
2020-09-18,US,US,3443
2020-09-19,US,US,3077
2020-09-20,US,US,3290
2020-09-21,US,US,3747
2020-09-22,US,US,3690
2020-09-23,US,US,3577
2020-09-24,US,US,3643
2020-09-25,US,US,3712
2020-09-26,US,US,3294
2020-09-27,US,US,3697
2020-09-28,US,US,4101
2020-09-29,US,US,3990
2020-09-30,US,US,4037
2020-10-01,US,US,3898
2020-10-02,US,US,4237
2020-10-03,US,US,3659
2020-10-04,US,US,4585
2020-10-05,US,US,5381
2020-10-06,US,US,4817
2020-10-07,US,US,4835
2020-10-08,US,US,4764
2020-10-09,US,US,4779
2020-10-10,US,US,4545
2020-10-11,US,US,4667
2020-10-12,US,US,5436
2020-10-13,US,US,5362
2020-10-14,US,US,5277
2020-10-15,US,US,5581
2020-10-16,US,US,5545
2020-10-17,US,US,5203
2020-10-18,US,US,5229
2020-10-19,US,US,6210
2020-10-20,US,US,6006
2020-10-21,US,US,6158
2020-10-22,US,US,6134
2020-10-23,US,US,6270
2020-10-24,US,US,5422
2020-10-25,US,US,5549
2020-10-26,US,US,6628
2020-10-27,US,US,7037
2020-10-28,US,US,7179
2020-10-29,US,US,7443
2020-10-30,US,US,6915
2020-10-31,US,US,6356
2020-11-01,US,US,6847
2020-11-02,US,US,7921
2020-11-03,US,US,8092
2020-11-04,US,US,8475
2020-11-05,US,US,8809
2020-11-06,US,US,8994
2020-11-07,US,US,8318
2020-11-08,US,US,8648
2020-11-09,US,US,10358
2020-11-10,US,US,10453
2020-11-11,US,US,10573
2020-11-12,US,US,10750
2020-11-13,US,US,10768
2020-11-14,US,US,10143
2020-11-15,US,US,10399
2020-11-16,US,US,12214
2020-11-17,US,US,12124
2020-11-18,US,US,12157
2020-11-19,US,US,12508
2020-11-20,US,US,12141
2020-11-21,US,US,11030
2020-11-22,US,US,11270
2020-11-23,US,US,13515
2020-11-24,US,US,13256
2020-11-25,US,US,12735
2020-11-26,US,US,11114
2020-11-27,US,US,13099
2020-11-28,US,US,12442
2020-11-29,US,US,12152
2020-11-30,US,US,14465
2020-12-01,US,US,13954
