date,location,location_name,value
2020-01-22,US,US,1
2020-01-23,US,US,0
2020-01-24,US,US,1
2020-01-25,US,US,0
2020-01-26,US,US,3
2020-01-27,US,US,0
2020-01-28,US,US,0
2020-01-29,US,US,1
2020-01-30,US,US,0
2020-01-31,US,US,2
2020-02-01,US,US,0
2020-02-02,US,US,0
2020-02-03,US,US,3
2020-02-04,US,US,0
2020-02-05,US,US,0
2020-02-06,US,US,1
2020-02-07,US,US,0
2020-02-08,US,US,0
2020-02-09,US,US,0
2020-02-10,US,US,0
2020-02-11,US,US,1
2020-02-12,US,US,0
2020-02-13,US,US,1
2020-02-14,US,US,0
2020-02-15,US,US,0
2020-02-16,US,US,0
2020-02-17,US,US,0
2020-02-18,US,US,0
2020-02-19,US,US,0
2020-02-20,US,US,0
2020-02-21,US,US,2
2020-02-22,US,US,0
2020-02-23,US,US,0
2020-02-24,US,US,0
2020-02-25,US,US,0
2020-02-26,US,US,0
2020-02-27,US,US,1
2020-02-28,US,US,0
2020-02-29,US,US,8
2020-03-01,US,US,7
2020-03-02,US,US,23
2020-03-03,US,US,20
2020-03-04,US,US,33
2020-03-05,US,US,77
2020-03-06,US,US,53
2020-03-07,US,US,166
2020-03-08,US,US,116
2020-03-09,US,US,75
2020-03-10,US,US,188
2020-03-11,US,US,368
2020-03-12,US,US,440
2020-03-13,US,US,633
2020-03-14,US,US,765
2020-03-15,US,US,244
2020-03-16,US,US,1458
2020-03-17,US,US,1842
2020-03-18,US,US,2661
2020-03-19,US,US,4495
2020-03-20,US,US,6374
2020-03-21,US,US,6009
2020-03-22,US,US,8826
2020-03-23,US,US,11238
2020-03-24,US,US,10619
2020-03-25,US,US,12082
2020-03-26,US,US,17856
2020-03-27,US,US,18690
2020-03-28,US,US,19630
2020-03-29,US,US,18899
2020-03-30,US,US,22075
2020-03-31,US,US,26314
2020-04-01,US,US,32286
2020-04-02,US,US,32222
2020-04-03,US,US,32307
2020-04-04,US,US,32386
2020-04-05,US,US,29895
2020-04-06,US,US,31390
2020-04-07,US,US,30779
2020-04-08,US,US,31235
2020-04-09,US,US,35942
2020-04-10,US,US,34403
2020-04-11,US,US,29083
2020-04-12,US,US,27256
2020-04-13,US,US,26939
2020-04-14,US,US,28818
2020-04-15,US,US,25408
