index,model,forecast_date,delta,target_end_date,quantile,value,deltaW,pastscores,pastranks,weights
256,AIpert:pwllnod,2021-08-23,5,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[629073.839021962, 630074.99576497, 631133.531143701, 632353.954642655, 633177.368583426, 633831.791880798, 634393.2287989879, 634897.41650346, 635364.621550641, 635807.953452335, 636236.882197863, 636659.010440181, 637299.776510353, 637950.865348063, 638623.817337417, 639333.007370293, 640098.334921582, 640950.5634428071, 641943.939868376, 643193.834241838, 645046.365986875, 646653.161000265, 648521.407449354]",1.0,-1.8158697280026042,22.0,0.045603836999279834
540,BPagano:RtDriven,2021-08-22,6,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[633361.50364, 633885.27, 634353.48953, 634901.7592600001, 635274.08279, 635570.7261600001, 635825.5456399999, 636054.55443, 636266.86581, 636468.3889100001, 636663.39957, 636855.33443, 637047.26928, 637242.27995, 637443.80305, 637656.1144300001, 637885.12322, 638139.9427, 638436.58607, 638808.9096, 639357.1793300001, 639825.3988600001, 640349.16522]",1.0,-1.061808388779716,9.577777777777778,0.06648806961710399
757,CEID:Walk,2021-08-23,5,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[632125.0179999999, 632196.043, 632309.473, 632367.374, 632450.601, 632552.692, 632588.161, 632624.693, 632670.086, 632709.1039999999, 632750.3929999999, 632808.976, 632863.7, 632898.195, 632941.7629999999, 632967.626, 633035.106, 633083.743, 633194.772, 633228.955, 633395.652, 633555.825, 633575.27]",1.0,-2.311233656481261,16.01851851851852,0.03559872752224834
1217,COVIDhub:baseline,2021-08-23,5,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[630133.85, 631758.5, 632788.35, 633459.3, 633886.85, 634436.2, 634710.0, 634884.1, 635045.1, 635178.0, 635318.95, 635351.0, 635383.05, 635524.0, 635656.9, 635817.9, 635992.0, 636265.8, 636815.15, 637242.7, 637913.65, 638943.5, 640568.15]",1.0,-2.339338105325891,13.985714285714286,0.03510198455983686
1507,COVIDhub:ensemble,2021-08-23,5,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[632423.0, 632920.0, 633253.0, 633807.0, 634255.0, 634539.0, 634752.0, 634914.0, 635227.0, 635382.0, 635578.0, 635696.0, 635888.0, 636266.0, 636409.0, 636600.0, 637029.0, 637282.0, 637507.0, 637798.0, 638104.0, 638793.0, 639664.0]",1.0,-1.8263105034585978,11.72463768115942,0.0453663876164375
1959,CU:nochange,2021-08-22,6,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[630687.5, 630951.5, 631235.0, 631452.5, 631589.0, 631692.5, 631851.5, 631992.5, 632099.0, 632181.5, 632273.0, 632366.0, 632465.0, 632576.0, 632730.5, 632841.5, 632958.5, 633090.5, 633231.5, 633435.5, 633873.5, 634275.5, 634781.0]",1.0,-2.256501393509584,13.56060606060606,0.036586379449233375
2734,CU:scenario_low,2021-08-22,6,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[630572.0, 630807.5, 631139.0, 631383.5, 631556.0, 631662.5, 631821.5, 631922.0, 632055.5, 632171.0, 632286.5, 632372.0, 632468.0, 632574.5, 632717.0, 632852.0, 632975.0, 633125.0, 633305.0, 633498.5, 633960.5, 634353.5, 634994.0]",1.0,-2.5655153070821504,13.884057971014492,0.03134858304596584
3124,CU:scenario_mid,2021-08-22,6,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[630725.0, 631050.5, 631260.5, 631475.0, 631572.5, 631694.0, 631799.0, 631925.0, 632033.0, 632112.5, 632216.0, 632366.0, 632451.5, 632574.5, 632693.0, 632826.5, 632957.0, 633057.5, 633243.5, 633600.5, 634043.0, 634314.5, 635150.0]",1.0,-2.271058593519067,14.455882352941176,0.036321048617488076
3524,CU:select,2021-08-22,6,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[630572.0, 630807.5, 631139.0, 631383.5, 631556.0, 631662.5, 631821.5, 631922.0, 632055.5, 632171.0, 632286.5, 632372.0, 632468.0, 632574.5, 632717.0, 632852.0, 632975.0, 633125.0, 633305.0, 633498.5, 633960.5, 634353.5, 634994.0]",1.0,-2.452110044570631,13.685714285714285,0.03317749217303519
5034,Covid19Sim:Simulator,2021-08-22,6,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[624235.055370491, 624984.783207281, 625301.87772269, 625775.258130366, 626222.556781611, 626369.014299418, 626469.649529835, 626533.899352406, 626574.727692249, 626615.6054145821, 626648.121442497, 626696.088622179, 626724.9319437479, 626746.659031981, 626811.625551959, 626879.404688974, 626952.943923636, 627029.732696237, 627106.996628835, 627236.358535544, 627690.49577232, 629417.8601231179, 629577.494518817]",1.0,-inf,23.448275862068964,0.0
5490,CovidAnalytics:DELPHI,2021-08-23,5,2021-08-28,"[0.01, 0.025, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.975, 0.99]","[630137.049068352, 630813.946963457, 631396.116496261, 632067.3206831829, 632520.17896155, 632880.096365297, 633188.8734500579, 633466.164815331, 633723.1165899311, 633966.9386966571, 634202.839406645, 634435.0, 634667.160593355, 634903.0613033429, 635146.8834100689, 635403.835184669, 635681.1265499421, 635989.903634703, 636349.82103845, 636802.6793168171, 637473.883503739, 638056.053036543, 638732.950931648]",1.0,-2.603093321643242,14.426470588235293,0.030765073241973445
